epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.668,3.09045,3.10057,3.58326,0.54812,0.35826,0.40218,0.16447,2.8102,3.31313,3.27219,0.000554047,0.000554047,0.000554047
2,219.978,2.26026,2.05756,2.56899,0.79471,0.53311,0.62803,0.34617,2.22808,2.51137,2.69421,0.000999852,0.000999852,0.000999852
3,303.89,1.82858,1.60925,2.16088,0.77176,0.6151,0.70405,0.4255,2.02528,2.24755,2.47811,0.00133563,0.00133563,0.00133563
4,386.852,1.6693,1.42541,2.0097,0.83609,0.65634,0.76207,0.45611,1.90782,1.90262,2.37737,0.0011719,0.0011719,0.0011719
5,468.835,1.48848,1.23768,1.8407,0.82677,0.69478,0.79378,0.50745,1.80973,1.81714,2.28068,0.00100687,0.00100687,0.00100687
6,550.589,1.40751,1.14482,1.77924,0.8257,0.73905,0.82892,0.57005,1.68974,1.67091,2.12914,0.000841835,0.000841835,0.000841835
7,632.375,1.3134,1.04918,1.69519,0.89037,0.71031,0.84419,0.58987,1.61434,1.50001,2.07328,0.000676802,0.000676802,0.000676802
8,713.901,1.25074,0.98465,1.64081,0.86648,0.76258,0.86386,0.61985,1.54694,1.37445,1.9933,0.000511769,0.000511769,0.000511769
9,797.809,1.18387,0.92553,1.57818,0.86718,0.78391,0.8717,0.64147,1.50223,1.34744,1.95877,0.000346736,0.000346736,0.000346736
10,878.882,1.14976,0.89562,1.56239,0.88443,0.77878,0.88162,0.65936,1.45128,1.26409,1.91059,0.000181703,0.000181703,0.000181703
